hotel_id,reco_hotel_id,rank
20743,70810,1
20743,3662071,2
20743,401848,3
20743,423961,4
20743,4756246,5
20743,2100022,6
20743,6713584,7
20743,1705777,8
20743,672505,9
20743,2775364,10
22066,806029,1
22066,2728663,2
22066,10654585,3
22066,5290126,4
22066,5288506,5
22066,6770797,6
22066,3852925,7
22066,401767,8
22066,421882,9
22066,2726413,10
26431,2102245,1
26431,1082869,2
26431,2102551,3
26431,1829635,4
26431,4763374,5
26431,2102263,6
26431,4796314,7
26431,5282359,8
26431,2102254,9
26431,2102398,10
27763,213073,1
27763,401443,2
27763,4758487,3
27763,253447,4
27763,570760,5
27763,709882,6
27763,4766623,7
27763,92392,8
27763,5228962,9
27763,2097349,10
40696,5261578,1
40696,4767091,2
40696,2090320,3
40696,1643056,4
40696,4765525,5
40696,5323183,6
40696,5320636,7
40696,6739189,8
40696,4764850,9
40696,1569841,10
41110,497068,1
41110,5319574,2
41110,2970799,3
41110,3865156,4
41110,2091058,5
41110,4760503,6
41110,3715351,7
41110,5275276,8
41110,509704,9
41110,1051459,10
41362,3733099,1
41362,1502998,2
41362,3751144,3
41362,5797051,4
41362,6756397,5
41362,3864940,6
41362,5229934,7
41362,6688051,8
41362,3697018,9
41362,5228602,10
50146,3868918,1
50146,5280946,2
50146,5257978,3
50146,3866227,4
50146,6766126,5
50146,1059118,6
50146,6720946,7
50146,10661362,8
50146,5288263,9
50146,1157515,10
52927,3879709,1
52927,6701515,2
52927,626218,3
52927,1520080,4
52927,304936,5
52927,404215,6
52927,6749197,7
52927,379879,8
52927,1779316,9
52927,5267590,10
52945,5279434,1
52945,4758100,2
52945,5258572,3
52945,10642093,4
52945,5262874,5
52945,5279632,6
52945,2088880,7
52945,6671509,8
52945,2836249,9
52945,2780755,10
53611,1876381,1
53611,592702,2
53611,10654135,3
53611,252799,4
53611,5225857,5
53611,3696298,6
53611,6021556,7
53611,3470398,8
53611,6731719,9
53611,404332,10
59002,6673516,1
59002,6696781,2
59002,6672139,3
59002,1864933,4
59002,6748954,5
59002,6734545,6
59002,6780481,7
59002,6697141,8
59002,6749863,9
59002,6672742,10
60253,5261578,1
60253,4767091,2
60253,2090320,3
60253,1643056,4
60253,4765525,5
60253,5323183,6
60253,5320636,7
60253,6739189,8
60253,4764850,9
60253,1569841,10
63574,1876381,1
63574,592702,2
